Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League,Fls,Fld,Crs,Int,TklW,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Gls/90,Ast/90,Fls/90,Fld/90,Crs/90,Int/90,TklW/90
551,Welington,br BRA,"MF,DF",Southampton,23,2001,10,6,482,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,551,br BRA,"MF,DF",23,2001,5.4,0,3.0,0.0,0,0.5555555555555555,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,6.0,8.0,17.0,5.0,10.0,,,,,,,,,0.0,0.0,1.111111111111111,1.4814814814814814,3.148148148148148,0.9259259259259258,1.8518518518518516
78,Wes Burns,wls WAL,MF,Ipswich Town,29,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,78,wls WAL,MF,29,1994,10.3,0,7.0,1.0,14.3,0.6796116504854368,0.0970873786407767,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,4.0,11.0,45.0,10.0,11.0,,,,,,,,,0.0,0.0970873786407767,0.3883495145631068,1.0679611650485437,4.368932038834951,0.9708737864077669,1.0679611650485437
186,Wesley Fofana,fr FRA,DF,Chelsea,23,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0,0,0,0,0,186,fr FRA,DF,23,2000,13,0,3.0,0.0,0,0.23076923076923078,0.0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,24.0,16.0,1.0,12.0,11.0,,,,,,,,,0.0,0.0,1.8461538461538463,1.2307692307692308,0.07692307692307693,0.9230769230769231,0.8461538461538461
377,Wilfred Ndidi,ng NGA,MF,Leicester City,27,1996,28,28,2324,25.8,0,5,5,0,0,0,8,0,0,0.19,0.19,0,0.19,377,ng NGA,MF,27,1996,25.8,0,22.0,8.0,36.4,0.8527131782945736,0.31007751937984496,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,39.0,18.0,30.0,27.0,48.0,,,,,,,,,0.0,0.19379844961240308,1.5116279069767442,0.6976744186046512,1.1627906976744187,1.0465116279069766,1.8604651162790697
20,Will Alves,eng ENG,MF,Leicester City,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,eng ENG,MF,19,2005,0,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Will Hughes,eng ENG,MF,Crystal Palace,29,1995,33,24,2108,23.4,0,3,3,0,0,0,11,0,0,0.13,0.13,0,0.13,245,eng ENG,MF,29,1995,23.4,0,22.0,1.0,4.5,0.9401709401709403,0.042735042735042736,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,65.0,31.0,70.0,21.0,36.0,,,,,,,,,0.0,0.12820512820512822,2.777777777777778,1.324786324786325,2.9914529914529915,0.8974358974358975,1.5384615384615385
301,Will Lankshear,eng ENG,FW,Tottenham Hotspur,19,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,301,eng ENG,FW,19,2005,0.1,0,0.0,0.0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,2.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,0.0
404,William Osula,dk DEN,FW,Newcastle United,20,2003,14,0,134,1.5,1,0,1,1,0,0,0,0,0.67,0,0.67,0.67,0.67,404,dk DEN,FW,20,2003,1.5,1,4.0,1.0,25,2.6666666666666665,0.6666666666666666,0.25,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,4.0,1.0,4.0,3.0,0.0,,,,,,,,,0.6666666666666666,0.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,2.0,0.0
450,William Saliba,fr FRA,DF,Arsenal,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0,0.06,0.06,0.06,450,fr FRA,DF,23,2001,33.8,2,6.0,3.0,50,0.1775147928994083,0.08875739644970415,0.33,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,28.0,17.0,3.0,22.0,34.0,,,,,,,,,0.0591715976331361,0.0,0.8284023668639054,0.5029585798816568,0.08875739644970415,0.6508875739644971,1.0059171597633136
477,William Smallbone,ie IRL,MF,Southampton,24,2000,18,6,690,7.7,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,477,ie IRL,MF,24,2000,7.7,1,7.0,2.0,28.6,0.9090909090909091,0.2597402597402597,0.14,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Premier League,11.0,3.0,36.0,2.0,12.0,,,,,,,,,0.12987012987012986,0.0,1.4285714285714286,0.38961038961038963,4.675324675324675,0.2597402597402597,1.5584415584415585
