Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
494,Leo Román,es ESP,GK,Mallorca,24,2000,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
495,Carlos Romero,es ESP,"DF,MF",Espanyol,22,2001,34,28,"2,554",28.4,2,1,3,2,0,0,7,0,0.07,0.04,0.11,0.07,0.11,Matches
496,Isaac Romero,es ESP,FW,Sevilla,24,2000,31,26,"2,156",24,4,2,6,4,0,1,10,1,0.17,0.08,0.25,0.17,0.25,Matches
497,Luka Romero,ar ARG,"MF,FW",Alavés,19,2004,6,2,199,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,Matches
498,Oriol Romeu,es ESP,MF,Girona,32,1991,25,17,"1,356",15.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
499,Vitor Roque,br BRA,FW,Real Betis,19,2005,22,14,"1,235",13.7,4,0,4,4,0,0,4,0,0.29,0,0.29,0.29,0.29,Matches
500,Valentin Rosier,fr FRA,DF,Leganés,27,1996,32,28,"2,595",28.8,1,2,3,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
501,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,29,26,"2,291",25.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
502,Aitor Ruibal,es ESP,"DF,FW",Real Betis,28,1996,29,13,"1,313",14.6,1,3,4,1,0,0,5,0,0.07,0.21,0.27,0.07,0.27,Matches
503,Abel Ruiz,es ESP,FW,Girona,24,2000,23,17,"1,346",15,4,0,4,3,1,2,3,0,0.27,0,0.27,0.2,0.2,Matches
504,Ferrán Ruiz,es ESP,DF,Girona,21,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
