,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
67,Luke Berry,eng ENG,MF,Charlton Athletic,32,1992,41,32,"2,420",26.9,7,5,12,7,0,0,9,0,0.26,0.19,0.45,0.26,0.45,Matches
68,Krystian Bielik,pl POL,DF,Birmingham City,26,1998,32,20,"1,843",20.5,1,0,1,1,0,0,5,1,0.05,0,0.05,0.05,0.05,Matches
69,Harrison Biggins,eng ENG,MF,Shrewsbury Town,28,1996,17,7,729,8.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
70,Nicholas Bilokapic,au AUS,GK,Peterborough United,21,2002,18,18,"1,620",18,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
71,Bryant Bilongo,eng ENG,"MF,DF",Bristol Rovers,22,2001,14,11,839,9.3,1,2,3,1,0,0,0,0,0.11,0.21,0.32,0.11,0.32,Matches
72,Tyler Bindon,nz NZL,DF,Reading,19,2005,44,44,"3,942",43.8,2,0,2,2,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
73,Jay Bird,eng ENG,FW,Exeter City,23,2001,14,2,259,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
74,Nathan Bishop,eng ENG,GK,Cambridge United,24,1999,14,13,"1,209",13.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
75,Nathan Bishop,eng ENG,GK,Wycombe Wanderers,24,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Jamal Blackman,eng ENG,GK,Shrewsbury Town,30,1993,27,27,"2,430",27,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Will Blackmore,eng ENG,GK,Peterborough United,21,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Frazer Blake-Tracy,eng ENG,"MF,DF",Mansfield Town,28,1995,18,14,"1,220",13.6,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
79,Jonathan Bland,wls WAL,"MF,DF",Barnsley,18,2005,9,6,650,7.2,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
80,Tom Bloxham,eng ENG,FW,Blackpool,21,2003,14,5,662,7.4,2,3,5,2,0,0,0,0,0.27,0.41,0.68,0.27,0.68,Matches
81,Tom Bloxham,eng ENG,"MF,FW",Shrewsbury Town,21,2003,22,14,"1,277",14.2,4,1,5,4,0,0,0,0,0.28,0.07,0.35,0.28,0.35,Matches
82,Hiram Boateng,eng ENG,MF,Mansfield Town,28,1996,41,19,"1,998",22.2,2,3,5,2,0,0,8,1,0.09,0.14,0.23,0.09,0.23,Matches
83,Billy Bodin,wls WAL,"MF,FW",Burton Albion,32,1992,12,7,608,6.8,4,0,4,4,0,0,1,0,0.59,0,0.59,0.59,0.59,Matches
84,Billy Bodin,wls WAL,FW,Reading,32,1992,16,3,353,3.9,2,1,3,2,0,0,0,0,0.51,0.25,0.76,0.51,0.76,Matches
85,Terry Bondo,eng ENG,FW,Blackpool,17,2007,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Pedro Borges,pt POR,MF,Exeter City,19,2005,1,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Jordan Bowery,kn SKN,"DF,MF",Mansfield Town,33,1991,44,29,"2,991",33.2,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches
88,Coniah Boyce-Clarke,jm JAM,GK,Reading,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Sonny Bradley,eng ENG,DF,Wycombe Wanderers,32,1991,17,16,"1,458",16.2,1,0,1,1,0,0,2,1,0.06,0,0.06,0.06,0.06,Matches
