,,,,,,,,Standard,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
42,Owen Bailey,eng ENG,"MF,DF",Doncaster Rovers,25,1999,45.8,5,53,14,26.4,1.16,0.31,0.09,0.36,0,0,Matches
43,Ibrahim Bakare,eng ENG,DF,Cheltenham Town,22,2002,18.4,0,5,2,40,0.27,0.11,0,0,0,0,Matches
44,Matthew Baker,wls WAL,DF,Newport County,21,2003,41,4,13,6,46.2,0.32,0.15,0.31,0.67,0,0,Matches
45,Courtney Baker-Richardson,eng ENG,FW,Newport County,28,1995,23.7,5,39,7,17.9,1.65,0.3,0.08,0.43,2,2,Matches
46,Aden Baldwin,eng ENG,DF,Bradford City,27,1997,28.8,0,11,1,9.1,0.38,0.03,0,0,0,0,Matches
47,Jimmy Ball,eng ENG,"DF,MF",AFC Wimbledon,28,1995,10.7,1,9,4,44.4,0.84,0.38,0.11,0.25,0,0,Matches
48,Ollie Banks,eng ENG,MF,Chesterfield,31,1992,26,2,47,13,27.7,1.81,0.5,0.04,0.15,0,0,Matches
49,Ben Barclay,eng ENG,"DF,MF",Carlisle United,27,1996,13.6,1,17,6,35.3,1.25,0.44,0.06,0.17,0,0,Matches
50,Daniel Barden,wls WAL,GK,Swindon Town,23,2001,11.8,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Lucas Barnes,eng ENG,MF,Harrogate Town FC,17,2007,0.1,0,0,0,,0,0,,,0,0,Matches
52,Sam Barnes,eng ENG,DF,Barrow,23,2001,0.5,0,1,0,0,2.05,0,0,,0,0,Matches
53,Connor Barratt,ie IRL,MF,Walsall,20,2004,37.7,0,29,6,20.7,0.77,0.16,0,0,0,0,Matches
54,Luca Barrington,eng ENG,"MF,FW",Grimsby Town,19,2004,20.9,4,32,13,40.6,1.53,0.62,0.13,0.31,0,0,Matches
55,Alex Bass,eng ENG,GK,Notts County,26,1998,38.1,0,0,0,,0,0,,,0,0,Matches
56,Jake Batty,eng ENG,"MF,DF",Accrington Stanley,19,2005,20.2,0,13,3,23.1,0.64,0.15,0,0,0,0,Matches
57,Jacob Bedeau,gd GRN,DF,Notts County,24,1999,43.4,0,11,3,27.3,0.25,0.07,0,0,0,0,Matches
58,James Belshaw,eng ENG,GK,Harrogate Town FC,33,1990,44.4,0,0,0,,0,0,,,0,0,Matches
59,Jay Benn,eng ENG,MF,Bradford City,22,2001,10.1,0,4,0,0,0.4,0,0,,0,0,Matches
60,Rhys Bennett,eng ENG,DF,Fleetwood Town,20,2003,27.8,1,15,3,20,0.54,0.11,0.07,0.33,0,0,Matches
61,Scot Bennett,eng ENG,"DF,MF",Cheltenham Town,33,1990,21.2,0,8,2,25,0.38,0.09,0,0,0,0,Matches
62,Kevin Berkoe,eng ENG,"MF,DF",Salford City FC,23,2001,7.1,0,4,1,25,0.56,0.14,0,0,0,0,Matches
63,James Berry,eng ENG,MF,Chesterfield,23,2000,11.8,7,32,16,50,2.71,1.36,0.22,0.44,0,0,Matches
64,Joe Bevan,sct SCO,MF,Carlisle United,19,2005,4.1,0,3,0,0,0.74,0,0,,0,0,Matches
65,Harrison Biggins,eng ENG,MF,Carlisle United,28,1996,13.6,0,19,3,15.8,1.4,0.22,0,0,0,0,Matches
66,Huseyin Biler,eng ENG,DF,AFC Wimbledon,22,2002,0.8,0,2,0,0,2.43,0,0,,0,0,Matches
67,Lewis Billington,eng ENG,"DF,MF",Crewe Alexandra,20,2004,16.8,0,11,2,18.2,0.65,0.12,0,0,0,0,Matches
68,Bryant Bilongo,eng ENG,DF,Harrogate Town FC,22,2001,10.4,1,4,2,50,0.39,0.19,0.25,0.5,0,0,Matches
69,Teddy Bishop,eng ENG,MF,Colchester United,28,1996,20.9,1,28,9,32.1,1.34,0.43,0.04,0.11,0,0,Matches
70,Benicio Boaitey,eng ENG,MF,Port Vale,20,2004,4,0,7,1,14.3,1.75,0.25,0,0,0,0,Matches
71,Omar Bogle,eng ENG,FW,Crewe Alexandra,31,1993,15.7,5,28,12,42.9,1.79,0.77,0.18,0.42,0,0,Matches
72,James Bolton,eng ENG,DF,Fleetwood Town,29,1994,35.7,4,24,7,29.2,0.67,0.2,0.17,0.57,0,0,Matches
73,Elliott Bonds,gy GUY,MF,Fleetwood Town,24,2000,29.7,0,25,2,8,0.84,0.07,0,0,0,0,Matches
74,Geoffroy Bony,wls WAL,FW,Newport County,19,2004,2.1,0,3,0,0,1.41,0,0,,0,0,Matches
75,Ryan Boot,eng ENG,GK,Chesterfield,29,1994,28,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Ryan Bowman,eng ENG,FW,Cheltenham Town,32,1991,9.4,3,14,6,42.9,1.5,0.64,0.21,0.5,0,0,Matches
77,Tom Bradbury,eng ENG,DF,Cheltenham Town,26,1998,37.9,1,12,4,33.3,0.32,0.11,0.08,0.25,0,0,Matches
78,Zak Bradshaw,eng ENG,"MF,DF",Tranmere Rovers,20,2003,12.9,0,7,1,14.3,0.54,0.08,0,0,0,0,Matches
79,Jack Bray,eng ENG,FW,Harrogate Town FC,17,2007,0.2,0,0,0,,0,0,,,0,0,Matches
80,Kian Breckin,eng ENG,MF,Crewe Alexandra,20,2003,3.4,0,3,0,0,0.87,0,0,,0,0,Matches
81,Gabriel Breeze,eng ENG,GK,Carlisle United,20,2003,32,0,0,0,,0,0,,,0,0,Matches
82,Ciaran Brennan,ie IRL,"DF,MF",Newport County,24,2000,25.3,0,6,1,16.7,0.24,0.04,0,0,0,0,Matches
83,George Broadbent,eng ENG,MF,Doncaster Rovers,23,2000,28.5,1,9,1,11.1,0.32,0.04,0.11,1,0,0,Matches
84,Ryan Broom,wls WAL,"MF,DF",Fleetwood Town,27,1996,12.8,2,11,6,54.5,0.86,0.47,0.18,0.33,0,0,Matches
85,Charlie Brown,eng ENG,"FW,MF",Morecambe,24,1999,0.5,0,0,0,,0,0,,,0,0,Matches
86,Charlie Brown,eng ENG,MF,Accrington Stanley,24,1999,2.5,0,6,1,16.7,2.39,0.4,0,0,0,0,Matches
87,Henry Brown,,MF,Grimsby Town,,,0,0,0,0,,0,0,,,0,0,Matches
88,Jaxon Brown,,MF,Swindon Town,,,1.6,0,1,0,0,0.61,0,0,,0,0,Matches
89,Jevani Brown,jm JAM,MF,Notts County,29,1994,5.4,0,11,4,36.4,2.03,0.74,0,0,0,0,Matches
90,Marcus Browne,eng ENG,"MF,FW",AFC Wimbledon,26,1997,11.1,4,50,19,38,4.51,1.72,0.08,0.21,0,0,Matches
91,Omar Bugiel,lb LIB,FW,AFC Wimbledon,30,1994,31.7,4,48,13,27.1,1.51,0.41,0.08,0.31,0,0,Matches
92,Tyler Burey,eng ENG,MF,Carlisle United,22,2001,5,0,6,0,0,1.2,0,0,,0,0,Matches
93,Harry Burgoyne,eng ENG,GK,Morecambe,27,1996,26.8,0,0,0,,0,0,,,0,0,Matches
94,Darragh Burns,nir NIR,"MF,FW",Grimsby Town,21,2002,2.8,0,4,1,25,1.45,0.36,0,0,0,0,Matches
95,Warren Burrell,eng ENG,"DF,MF",Harrogate Town FC,34,1990,20.8,0,6,1,16.7,0.29,0.05,0,0,0,0,Matches
96,Daniel Butterworth,eng ENG,"FW,MF",Carlisle United,24,1999,0.5,0,2,1,50,4.09,2.05,0,0,0,0,Matches
97,Daniel Butterworth,eng ENG,"MF,FW",Swindon Town,24,1999,21.1,5,42,11,26.2,1.99,0.52,0.12,0.45,0,0,Matches
98,Jack Bycroft,eng ENG,GK,Swindon Town,22,2001,20.2,0,0,0,,0,0,,,0,0,Matches
99,George Byers,sct SCO,MF,Port Vale,28,1996,14.9,2,22,4,18.2,1.47,0.27,0.09,0.5,0,0,Matches
100,Neill Byrne,ie IRL,DF,Bradford City,31,1993,23.2,2,12,3,25,0.52,0.13,0.17,0.67,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Jake Cain,eng ENG,"DF,MF",Swindon Town,22,2001,8.7,0,5,1,20,0.57,0.11,0,0,0,0,Matches
102,Kyle Cameron,sct SCO,DF,Barrow,27,1997,15.1,1,8,2,25,0.53,0.13,0.13,0.5,0,0,Matches
103,Dean Campbell,sct SCO,MF,Barrow,23,2001,29,1,20,9,45,0.69,0.31,0.05,0.11,0,0,Matches
104,Niall Canavan,ie IRL,DF,Barrow,33,1991,35,0,4,1,25,0.11,0.03,0,0,0,0,Matches
105,Jacob Carney,eng ENG,GK,Newport County,23,2001,3,0,0,0,,0,0,,,0,0,Matches
106,Tom Carroll,eng ENG,MF,Milton Keynes Dons,32,1992,5.4,0,2,1,50,0.37,0.19,0,0,0,0,Matches
107,Matthew Carson,eng ENG,DF,Grimsby Town,21,2002,1.6,0,0,0,,0,0,,,0,0,Matches
108,Lewis Cass,eng ENG,DF,Grimsby Town,24,2000,18.4,1,6,1,16.7,0.33,0.05,0.17,1,0,0,Matches
109,Charlie Caton,eng ENG,FW,Accrington Stanley,21,2002,4.2,0,5,1,20,1.18,0.24,0,0,0,0,Matches
110,Alfie Chang,eng ENG,MF,Walsall,21,2002,2.5,0,6,1,16.7,2.4,0.4,0,0,0,0,Matches
111,Ashley Charles,gd GRN,MF,Bromley,25,1999,22,0,5,2,40,0.23,0.09,0,0,0,0,Matches
112,Taylor Charters,eng ENG,"MF,FW",Carlisle United,22,2001,2.2,0,4,0,0,1.81,0,0,,0,0,Matches
113,Michael Cheek,eng ENG,FW,Bromley,36,1988,42.1,25,93,48,51.6,2.21,1.14,0.17,0.33,9,10,Matches
114,Daniel Chesters,eng ENG,"MF,DF",Salford City FC,22,2002,5,0,3,1,33.3,0.6,0.2,0,0,0,0,Matches
115,Adam Chicksen,zw ZIM,MF,Notts County,32,1991,1.4,0,0,0,,0,0,,,0,0,Matches
116,Ethan Chislett,eng ENG,"MF,FW",Port Vale,24,2000,15.5,4,28,10,35.7,1.81,0.65,0.11,0.3,1,1,Matches
117,Madou Cisse,,FW,Notts County,,,0.7,0,0,0,,0,0,,,0,0,Matches
118,Max Clark,eng ENG,"DF,MF",Gillingham,28,1996,37.6,3,22,7,31.8,0.59,0.19,0.05,0.14,2,2,Matches
119,Mitchell Clark,wls WAL,MF,Port Vale,25,1999,16,1,10,1,10,0.63,0.06,0.1,1,0,0,Matches
120,James Clarke,eng ENG,DF,Newport County,34,1989,22.9,1,10,3,30,0.44,0.13,0.1,0.33,0,0,Matches
