Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,0,0,0,,0,0,,,0,0,Matches
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,0,5,0,0,0.61,0,0,,0,0,Matches
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,1,11,2,18.2,0.45,0.08,0.09,0.5,0,0,Matches
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,1,4,1,25,0.95,0.24,0.25,1,0,0,Matches
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,1,8,2,25,2.85,0.71,0.13,0.5,0,0,Matches
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0,Matches
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,1,5,2,40,0.3,0.12,0.2,0.5,0,0,Matches
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,0,0,Matches
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,1,13,5,38.5,1.31,0.5,0.08,0.2,0,0,Matches
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,0,5,1,20,0.22,0.04,0,0,0,0,Matches
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,0,6,2,33.3,0.6,0.2,0,0,0,0,Matches
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,2,24,9,37.5,2.6,0.97,0.08,0.22,0,0,Matches
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19,0,0,0,,0,0,,,0,0,Matches
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,0,0,0,,0,0,,,0,0,Matches
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4,1,7,2,28.6,1.73,0.49,0.14,0.5,0,0,Matches
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,0,1,0,0,0.21,0,0,,0,0,Matches
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1,0,0,Matches
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,1,9,6,66.7,1.97,1.31,0.11,0.17,0,1,Matches
