Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
155,Kai Corbett,eng ENG,"FW,MF",Aldershot Town,21,2002,11.6,1,0,0,,,,,,,,,0,Matches
156,Tyler Cordner,eng ENG,DF,Ebbsfleet United,25,1998,13.8,4,0,0,,,,,,,,,0,Matches
157,Aaron Cosgrave,eng ENG,"FW,MF",FC Halifax Town,25,1999,0.9,0,0,0,,,,,,,,,0,Matches
158,Aaron Cosgrave,eng ENG,FW,Ebbsfleet United,25,1999,25.5,2,0,0,,,,,,,,,0,Matches
159,Finn Cousin-Dawson,nir NIR,"DF,MF",Yeovil Town,21,2002,28.5,10,1,0,,,,,,,,,0,Matches
160,Mark Cousins,eng ENG,GK,Ebbsfleet United,37,1987,43,1,0,0,,,,,,,,,0,Matches
161,Aidan Coyne,au AUS,DF,Maidenhead United,20,2004,0.1,0,0,0,,,,,,,,,0,Matches
162,Oliver Crankshaw,eng ENG,MF,Altrincham,25,1998,1.7,2,0,0,,,,,,,,,0,Matches
163,Ellis Craven,eng ENG,GK,Boston United,19,2004,0.4,0,0,0,,,,,,,,,0,Matches
164,Tom Crawford,eng ENG,MF,Altrincham,25,1999,39.3,12,2,2,,,,,,,,,0,Matches
165,Daniel Creaney,eng ENG,FW,Tamworth,30,1994,31.5,12,0,0,,,,,,,,,0,Matches
166,Romoney Crichlow-Noble,eng ENG,DF,Dagenham & Redbridge,25,1999,9.5,6,1,1,,,,,,,,,0,Matches
167,Ben Crompton,eng ENG,DF,Tamworth,20,2003,21,6,0,0,,,,,,,,,0,Matches
168,Adam Crookes,eng ENG,DF,York City,26,1997,8.5,0,0,0,,,,,,,,,0,Matches
169,Jordan Cropper,eng ENG,DF,Barnet,24,2000,4.5,0,0,0,,,,,,,,,0,Matches
170,Adam Crowther,eng ENG,DF,Southend United,23,2001,19.4,1,0,0,,,,,,,,,0,Matches
171,Jordan Cullinane-Liburd,eng ENG,DF,Tamworth,29,1995,22.5,11,2,1,,,,,,,,,0,Matches
172,Jo Cummings,eng ENG,DF,FC Halifax Town,25,1998,11.4,1,0,0,,,,,,,,,0,Matches
173,Greg Cundle,eng ENG,FW,Ebbsfleet United,27,1997,4.8,0,0,0,,,,,,,,,0,Matches
174,Robbie Cundy,eng ENG,DF,Solihull Moors,27,1997,6.9,1,0,0,,,,,,,,,0,Matches
175,Matt Curley,eng ENG,DF,Tamworth,29,1995,9.4,2,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Tom Dallison,eng ENG,DF,Ebbsfleet United,28,1996,28.9,9,0,0,,,,,,,,,0,Matches
177,Campbell Darcy,eng ENG,MF,Hartlepool United,18,2006,0.1,0,0,0,,,,,,,,,0,Matches
178,Jezreel Davies,eng ENG,"MF,FW",Ebbsfleet United,20,2004,4.1,1,1,0,,,,,,,,,0,Matches
179,Will Davies,eng ENG,FW,Sutton United,25,1999,40.9,8,0,0,,,,,,,,,0,Matches
180,Harry Davis,eng ENG,DF,Fylde,32,1991,23.8,8,1,0,,,,,,,,,0,Matches
181,Dillon De Silva,lk SRI,"MF,FW",Sutton United,22,2002,10.3,1,0,0,,,,,,,,,0,Matches
182,Jake Dennis,wls WAL,GK,Oldham Athletic,19,2004,1,0,0,0,,,,,,,,,0,Matches
183,Matthew Dennis,eng ENG,FW,Rochdale,22,2002,1,0,0,0,,,,,,,,,0,Matches
184,Marcus Dewhurst,eng ENG,GK,Aldershot Town,23,2001,43,3,0,0,,,,,,,,,0,Matches
185,Emmanuel Dieseruvwe,eng ENG,"FW,MF",Hartlepool United,29,1995,42.2,6,0,0,,,,,,,,,0,Matches
186,Kennedy Digie,eng ENG,DF,Tamworth,27,1996,27.3,2,0,0,,,,,,,,,0,Matches
187,Joel Dixon,eng ENG,GK,Hartlepool United,30,1993,5.4,0,0,0,,,,,,,,,0,Matches
188,Daniel Dodds,eng ENG,"DF,MF",Hartlepool United,23,2001,16.2,2,1,0,,,,,,,,,0,Matches
189,Joe Dodoo,eng ENG,"FW,MF",Solihull Moors,29,1995,5.5,1,0,0,,,,,,,,,0,Matches
190,Christian Doidge,wls WAL,FW,Forest Green Rovers,31,1992,20.9,0,0,0,,,,,,,,,0,Matches
191,Brad Dolaghan,eng ENG,FW,Aldershot Town,19,2004,0.7,0,0,0,,,,,,,,,0,Matches
192,Callum Dolan,eng ENG,"MF,FW",Oldham Athletic,23,2000,2.8,1,0,0,,,,,,,,,0,Matches
193,Callum Dolan,eng ENG,MF,Altrincham,23,2000,3.7,0,0,0,,,,,,,,,0,Matches
194,Franklin Domi,al ALB,"MF,DF",Ebbsfleet United,23,2000,25.1,7,1,1,,,,,,,,,0,Matches
195,Tom Donaghy,eng ENG,GK,Oldham Athletic,21,2003,10,0,0,0,,,,,,,,,0,Matches
196,Tom Donaghy,eng ENG,GK,Boston United,21,2003,2,0,0,0,,,,,,,,,0,Matches
197,Luke Dreher,eng ENG,MF,Wealdstone FC,25,1998,1.5,0,0,0,,,,,,,,,0,Matches
198,Kane Drummond,eng ENG,FW,Oldham Athletic,23,2000,3.5,0,0,0,,,,,,,,,0,Matches
199,Immanuelson Duku,nl NED,FW,Solihull Moors,31,1992,6.8,0,0,0,,,,,,,,,0,Matches
200,Tyrese Dyce,eng ENG,DF,Maidenhead United,23,2001,7.1,1,0,0,,,,,,,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Max Dyche,eng ENG,DF,Woking,21,2003,20.8,7,0,0,,,,,,,,,0,Matches
202,Alex Dyer,ms MSR,MF,Wealdstone FC,34,1990,22.5,9,0,0,,,,,,,,,0,Matches
203,Ryan East,eng ENG,MF,Rochdale,26,1998,35.4,2,0,0,,,,,,,,,0,Matches
204,Tom Eastman,eng ENG,DF,Dagenham & Redbridge,32,1991,24.5,3,0,0,,,,,,,,,0,Matches
205,Craig Eastmond,eng ENG,MF,Wealdstone FC,33,1990,7.2,7,2,1,,,,,,,,,0,Matches
206,Ethan Ebanks-Landell,eng ENG,DF,Rochdale,31,1992,10.8,2,0,0,,,,,,,,,0,Matches
207,Junior Eccleston,eng ENG,DF,Sutton United,17,2007,0.5,1,0,0,,,,,,,,,0,Matches
208,Charlie Edge,,,Tamworth,,,0,0,0,0,,,,,,,,,0,Matches
209,Toby Edser,eng ENG,MF,Ebbsfleet United,25,1999,32.3,11,1,1,,,,,,,,,0,Matches
210,Corey Edwards,,MF,Rochdale,,,4.6,0,0,0,,,,,,,,,0,Matches
