"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
64;"Federico Dimarco";"Inter";33;2214;4;4;7;4.16;4.16;7.33;15.37;7.95;0.17;0.17;0.3;0.47;0.47;0.62;0.32
65;"Marten de Roon";"Atalanta";36;3060;4;4;4;1.26;1.26;2.75;20.36;18.28;0.04;0.04;0.08;0.12;0.12;0.6;0.54
66;"Theo Hernández";"AC Milan";33;2698;4;4;3;3.17;2.41;5.34;16.7;14.54;0.11;0.08;0.18;0.28;0.26;0.56;0.49
67;"Rolando Mandragora";"Fiorentina";29;1940;4;3;3;2.28;1.52;3.92;7.94;5.2;0.11;0.07;0.18;0.29;0.25;0.37;0.24
68;"Eldor Shomurodov";"Roma";27;1082;4;4;4;5.65;5.65;1.87;7.13;1.6;0.47;0.47;0.16;0.63;0.63;0.59;0.13
69;"Adam Marusic";"Lazio";35;2336;4;4;0;2.18;2.18;0.61;7.72;6.36;0.08;0.08;0.02;0.11;0.11;0.3;0.24
70;"Enrico Del Prato";"Parma Calcio 1913";34;2944;4;4;0;1.97;1.97;1.28;8.78;7.23;0.06;0.06;0.04;0.1;0.1;0.27;0.22
71;"Yacine Adli";"Fiorentina";26;1246;4;4;6;0.9;0.9;3.48;6.73;4.39;0.07;0.07;0.25;0.32;0.32;0.49;0.32
72;"Kephren Thuram";"Juventus";35;2331;4;4;5;3.53;3.53;4.68;15.06;9.89;0.14;0.14;0.18;0.32;0.32;0.58;0.38
73;"Marco Brescianini";"Atalanta";29;959;4;4;2;4.4;4.4;1.24;7.27;2.32;0.41;0.41;0.12;0.53;0.53;0.68;0.22
74;"Hans Nicolussi Caviglia";"Venezia";35;2883;4;4;2;2.24;2.24;2.81;6.24;4.33;0.07;0.07;0.09;0.16;0.16;0.19;0.14
75;"Eljif Elmas";"Torino";13;1032;4;4;0;1.38;1.38;0.54;3.8;2.11;0.12;0.12;0.05;0.17;0.17;0.33;0.18
76;"Simon Sohm";"Parma Calcio 1913";37;3015;4;4;0;4.35;4.35;2.63;15.72;9.8;0.13;0.13;0.08;0.21;0.21;0.47;0.29
77;"Dennis Man";"Parma Calcio 1913";33;1997;4;4;4;7;7;4.65;12.55;3.32;0.32;0.32;0.21;0.53;0.53;0.57;0.15
78;"Jacopo Fazzini";"Empoli";20;1403;4;4;1;3.69;3.69;1.09;6.92;2.65;0.24;0.24;0.07;0.31;0.31;0.44;0.17
79;"Éderson";"Atalanta";37;2898;4;4;1;4.34;4.34;5.69;22.29;16.02;0.13;0.13;0.18;0.31;0.31;0.69;0.5
80;"Amin Sarr";"Verona";32;1940;4;4;1;4.79;4.79;2.12;8.29;2.34;0.22;0.22;0.1;0.32;0.32;0.38;0.11
81;"Gustav Isaksen";"Lazio";37;2254;4;4;2;5.24;5.24;3.08;12.2;6;0.21;0.21;0.12;0.33;0.33;0.49;0.24
82;"Santiago Pierotti";"Lecce";36;1963;4;4;2;4.26;4.26;2.86;7.33;1.79;0.2;0.2;0.13;0.33;0.33;0.34;0.08
83;"Matteo Darmian";"Inter";29;1781;3;3;2;2.3;2.3;1.4;9.96;6.82;0.12;0.12;0.07;0.19;0.19;0.5;0.34
84;"Tammy Abraham";"AC Milan,Roma";29;1174;3;2;4;7.74;6.22;2.49;9.9;2.16;0.59;0.48;0.19;0.78;0.67;0.76;0.17
85;"Mario Pasalic";"Atalanta";34;1973;3;3;4;7.04;6.28;3.97;19.13;11.96;0.32;0.29;0.18;0.5;0.47;0.87;0.55
86;"Duván Zapata";"Torino";7;597;3;3;0;3.21;3.21;0.58;4.07;0.7;0.48;0.48;0.09;0.57;0.57;0.61;0.11
87;"Gianluca Caprari";"Monza";34;1644;3;1;2;3.86;2.34;2.09;6.64;3.31;0.21;0.13;0.11;0.33;0.24;0.36;0.18
88;"Danilo Cataldi";"Fiorentina";25;1762;3;3;0;0.79;0.79;0.59;7.41;6.71;0.04;0.04;0.03;0.07;0.07;0.38;0.34
89;"Leandro Paredes";"Roma";22;1370;3;1;1;2.16;0.63;1.66;10.67;9.5;0.14;0.04;0.11;0.25;0.15;0.7;0.62
