Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
173,Jón Daði Böðvarsson,is ISL,FW,Burton Albion,32,1992,9.1,0,0,0,5,8,5,4,3,1,,,0,Matches
174,Jón Daði Böðvarsson,is ISL,FW,Wrexham,32,1992,1,0,0,0,2,2,0,1,0,1,,,0,Matches
175,Ryan De Havilland,eng ENG,MF,Peterborough United,23,2001,16.5,4,0,0,18,11,0,15,14,17,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Harlee Dean,eng ENG,DF,Reading,33,1991,8.2,2,0,0,8,4,0,3,2,4,,,0,Matches
177,Tom Dean,eng ENG,MF,Exeter City,18,2005,1.6,0,0,0,2,1,0,4,0,0,,,0,Matches
178,Finn Delap,eng ENG,DF,Burton Albion,19,2005,2.9,1,0,0,5,2,0,0,8,3,,,0,Matches
179,Siriki Dembélé,ci CIV,MF,Birmingham City,27,1996,0.5,0,0,0,1,1,0,1,0,0,,,0,Matches
180,Kyle Dempsey,eng ENG,MF,Bolton Wanderers,28,1995,8.2,2,0,0,6,7,1,27,9,3,,,0,Matches
181,Ollie Dewsbury,wls WAL,FW,Bristol Rovers,16,2008,1.7,0,0,0,6,1,2,0,0,0,,,0,Matches
182,Cheick Diabate,eng ENG,"MF,DF",Exeter City,22,2002,2.6,1,0,0,1,1,0,0,3,0,,,0,Matches
183,Jack Diamond,eng ENG,MF,Stockport,24,2000,18.1,3,0,0,22,30,4,68,6,11,,,0,Matches
184,Matt Dibley-Dias,nz NZL,MF,Northampton Town,20,2004,0.7,0,0,0,2,0,0,1,1,0,,,0,Matches
185,Paul Digby,eng ENG,MF,Cambridge United,29,1995,26.7,8,0,0,31,12,2,20,18,29,,,0,Matches
186,Ricardo Dinanga,ie IRL,FW,Shrewsbury Town,22,2001,0.1,0,0,0,0,0,0,1,0,1,,,0,Matches
187,Kaheim Dixon,jm JAM,FW,Charlton Athletic,19,2004,0.6,0,0,0,1,1,0,1,0,0,,,0,Matches
188,George Dobson,eng ENG,MF,Wrexham,26,1997,36.1,10,0,0,59,25,1,22,39,58,,,0,Matches
189,Neo Dobson,,FW,Northampton Town,,,0.8,1,0,0,2,0,0,0,0,0,,,0,Matches
