Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
293,Alban Lafont,ci CIV,GK,Nantes,25,1999,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
294,Kenny Lala,mg MAD,DF,Brest,32,1991,30,29,"2,686",29.8,3,2,5,0,3,3,5,0,0.1,0.07,0.17,0,0.07,Matches
295,Mohamed Lamine Bayo,gn GUI,FW,Lille,26,1998,12,4,309,3.4,2,1,3,2,0,0,1,0,0.58,0.29,0.87,0.58,0.87,Matches
296,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34,34,"3,060",34,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
297,Julien Le Cardinal,fr FRA,DF,Brest,26,1997,16,15,"1,378",15.3,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
298,Jérémy Le Douaron,fr FRA,FW,Brest,26,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Pierre Lees-Melou,fr FRA,MF,Brest,31,1993,20,17,"1,526",17,2,2,4,2,0,0,7,0,0.12,0.12,0.24,0.12,0.24,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Jordan Lefort,fr FRA,DF,Angers,30,1993,34,34,"3,060",34,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
302,Félix Lemaréchal,fr FRA,"MF,FW",Strasbourg,20,2003,27,20,"1,779",19.8,4,3,7,4,0,0,2,0,0.2,0.15,0.35,0.2,0.35,Matches
303,Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,"2,880",32,0,2,2,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
304,Esteban Lepaul,fr FRA,FW,Angers,24,2000,28,18,"1,629",18.1,9,0,9,9,0,0,2,0,0.5,0,0.5,0.5,0.5,Matches
305,Johann Lepenant,fr FRA,MF,Nantes,21,2002,29,23,"2,048",22.8,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches
306,Louis Leroux,fr FRA,"MF,DF",Nantes,18,2006,16,8,816,9.1,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches
307,Pol Lirola,es ESP,DF,Marseille,26,1997,19,5,680,7.6,1,2,3,1,0,0,1,1,0.13,0.26,0.4,0.13,0.4,Matches
308,Gautier Lloris,fr FRA,DF,Le Havre,29,1995,31,31,"2,768",30.8,2,1,3,2,0,0,5,0,0.07,0.03,0.1,0.07,0.1,Matches
309,Bradley Locko,fr FRA,DF,Brest,22,2002,2,1,97,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
310,Elysée Logbo,fr FRA,FW,Le Havre,20,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,"1,563",17.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
312,Jordan Lotomba,ch SUI,"DF,MF",Nice,25,1998,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Tom Louchet,fr FRA,"DF,MF",Nice,21,2003,22,7,775,8.6,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
314,Milos Lukovic,rs SRB,FW,Strasbourg,18,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Othmane Maamma,ma MAR,MF,Montpellier,18,2005,12,2,361,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
316,Deiver Machado,co COL,"DF,MF",Lens,30,1993,27,20,"1,805",20.1,1,4,5,1,0,0,7,2,0.05,0.2,0.25,0.05,0.25,Matches
317,Lanroy Machine,fr FRA,MF,Angers,18,2005,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Yvann Macon,fr FRA,DF,Saint-Étienne,25,1998,12,10,790,8.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
319,Eros Maddy,nl NED,"FW,MF",Auxerre,23,2001,2,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
320,Soungoutou Magassa,fr FRA,MF,Monaco,20,2003,21,12,"1,025",11.4,0,1,1,0,0,0,5,1,0,0.09,0.09,0,0.09,Matches
321,Hugo Magnetti,fr FRA,MF,Brest,26,1998,32,27,"2,323",25.8,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
322,Frank Magri,cm CMR,FW,Toulouse,24,1999,31,17,"1,516",16.8,5,1,6,5,0,0,5,1,0.3,0.06,0.36,0.3,0.36,Matches
323,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,26,1997,32,20,"1,985",22.1,1,4,5,1,0,0,1,0,0.05,0.18,0.23,0.05,0.23,Matches
324,Radosław Majecki,pl POL,GK,Monaco,24,1999,15,15,"1,350",15,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
325,Hamidou Makalou,ml MLI,MF,Brest,18,2006,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Nikola Maksimović,rs SRB,DF,Montpellier,32,1991,7,7,581,6.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
327,Aaron Malouda,fr FRA,FW,Lille,18,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Hianga Mananga Mbock,fr FRA,MF,Brest,24,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Steve Mandanda,fr FRA,GK,Rennes,39,1985,18,17,"1,486",16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
330,Aïssa Mandi,dz ALG,DF,Lille,32,1991,24,20,"1,733",19.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
331,Orel Mangala,be BEL,MF,Lyon,26,1998,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Sekou Mara,fr FRA,"FW,MF",Strasbourg,22,2002,25,7,768,8.5,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,Matches
333,Marquinhos,br BRA,DF,Paris Saint-Germain,30,1994,22,19,"1,725",19.2,2,0,2,2,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
334,Ange Martial Tia,ml MLI,MF,Reims,17,2006,6,2,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Jonas Martin,fr FRA,MF,Brest,34,1990,17,5,496,5.5,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
336,Han-Noah Massengo,fr FRA,MF,Auxerre,23,2001,17,11,"1,046",11.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
337,Clinton Mata,ao ANG,DF,Lyon,31,1992,29,27,"2,370",26.3,0,4,4,0,0,0,6,0,0,0.15,0.15,0,0.15,Matches
338,Eliot Matazo,be BEL,MF,Monaco,22,2002,3,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Nemanja Matić,rs SRB,MF,Lyon,35,1988,29,25,"2,010",22.3,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
340,Rudy Matondo,fr FRA,MF,Auxerre,16,2008,5,0,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
341,Azor Matusiwa,nl NED,MF,Rennes,26,1998,29,23,"2,078",23.1,1,3,4,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17,Matches
342,Neal Maupay,fr FRA,FW,Marseille,27,1996,22,13,"1,042",11.6,4,4,8,4,0,0,3,1,0.35,0.35,0.69,0.35,0.69,Matches
343,Christian Mawissa,fr FRA,DF,Monaco,19,2005,22,17,"1,501",16.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
