Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
308,Ali Al Hamadi,iq IRQ,FW,Stoke City,22,2002,15,11,829,9.2,2,0,2,2,0,0,2,0,0.22,0,0.22,0.22,0.22,308,iq IRQ,FW,22,2002,9.2,2,19,6,31.6,2.06,0.65,0.11,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
445,Alistair McCann,nir NIR,MF,Preston North End,24,1999,29,28,"2,418",26.9,1,0,1,1,0,0,9,0,0.04,0,0.04,0.04,0.04,445,nir NIR,MF,24,1999,26.9,1,17,4,23.5,0.63,0.15,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
254,Amankwah Forson,gh GHA,"MF,FW",Norwich City,21,2002,21,8,727,8.1,2,2,4,2,0,0,2,0,0.25,0.25,0.5,0.25,0.5,254,gh GHA,"MF,FW",21,2002,8.1,2,16,5,31.3,1.98,0.62,0.13,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
67,Amari'i Bell,jm JAM,"DF,MF",Luton Town,30,1994,31,31,"2,706",30.1,0,0,0,0,0,0,1,0,0,0,0,0,0,67,jm JAM,"DF,MF",30,1994,30.1,0,4,0,0,0.13,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
169,Amario Cozier-Duberry,eng ENG,MF,Blackburn Rovers,19,2005,22,6,723,8,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,169,eng ENG,MF,19,2005,8,1,16,5,31.3,1.99,0.62,0.06,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
497,Amin Nabizada,eng ENG,FW,Watford,17,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,497,eng ENG,FW,17,2007,0.2,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
764,Anass Zaroury,ma MAR,"FW,MF",Burnley,23,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,764,ma MAR,"FW,MF",23,2000,0.3,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
103,Andre Brooks,eng ENG,MF,Sheffield United,20,2003,22,10,951,10.6,3,2,5,3,0,0,3,0,0.28,0.19,0.47,0.28,0.47,103,eng ENG,MF,20,2003,10.6,3,21,9,42.9,1.99,0.85,0.14,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
209,Andre Dozzell,eng ENG,MF,Portsmouth,25,1999,39,32,"2,817",31.3,2,1,3,2,0,0,11,0,0.06,0.03,0.1,0.06,0.1,209,eng ENG,MF,25,1999,31.3,2,16,4,25,0.51,0.13,0.13,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
294,Andre Gray,jm JAM,FW,Plymouth Argyle,33,1991,13,5,550,6.1,3,1,4,3,0,0,1,0,0.49,0.16,0.65,0.49,0.65,294,jm JAM,FW,33,1991,6.1,3,8,6,75,1.31,0.98,0.38,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
335,Andreas Hountondji,bj BEN,"MF,FW",Burnley,22,2002,9,2,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,335,bj BEN,"MF,FW",22,2002,2.3,0,8,1,12.5,3.44,0.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
733,Andreas Weimann,at AUT,MF,Blackburn Rovers,32,1991,30,15,"1,411",15.7,7,2,9,7,0,0,2,0,0.45,0.13,0.57,0.45,0.57,733,at AUT,MF,32,1991,15.7,7,32,20,62.5,2.04,1.28,0.22,0.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
337,Andrew Hughes,wls WAL,"DF,MF",Preston North End,32,1992,40,36,"3,236",36,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,337,wls WAL,"DF,MF",32,1992,36,0,9,3,33.3,0.25,0.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
482,Andrew Moran,ie IRL,MF,Stoke City,20,2003,35,26,"2,357",26.2,4,3,7,4,0,0,9,0,0.15,0.11,0.27,0.15,0.27,482,ie IRL,MF,20,2003,26.2,4,28,8,28.6,1.07,0.31,0.14,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
698,Andros Townsend,eng ENG,"FW,MF",Luton Town,33,1991,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,698,eng ENG,"FW,MF",33,1991,0.1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
717,André Vidigal,ao ANG,"FW,MF",Stoke City,25,1998,10,0,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,717,ao ANG,"FW,MF",25,1998,1.2,0,7,1,14.3,6.06,0.87,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
592,Andy Rinomhota,zw ZIM,"MF,DF",Cardiff City,27,1997,30,24,"2,106",23.4,0,1,1,0,0,0,6,0,0,0.04,0.04,0,0.04,592,zw ZIM,"MF,DF",27,1997,23.4,0,6,1,16.7,0.26,0.04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,25,1999,38,35,"3,136",34.8,3,1,4,3,0,0,11,1,0.09,0.03,0.11,0.09,0.11,10,ba BIH,DF,25,1999,34.8,3,12,4,33.3,0.34,0.11,0.25,0.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
198,Anfernee Dijksteel,sr SUR,DF,Middlesbrough,27,1996,33,27,"2,525",28.1,2,1,3,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,198,sr SUR,DF,27,1996,28.1,2,3,2,66.7,0.11,0.07,0.67,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
530,Angelo Ogbonna,it ITA,DF,Watford,36,1988,6,5,398,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,530,it ITA,DF,36,1988,4.4,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
304,Angus Gunn,sct SCO,GK,Norwich City,28,1996,35,35,"3,104",34.5,0,0,0,0,0,0,1,0,0,0,0,0,0,304,sct SCO,GK,28,1996,34.5,0,0,0,,0,0,,,0,0,,,,,,,,,20,sct SCO,GK,28,1996,35,35,"3,104",34.5,42,1.22,122,84,68.9,14,11,10,8,22.9,4,4,0,0,0,ENG-Championship
71,Anis Ben Slimane,tn TUN,MF,Norwich City,23,2001,33,25,"2,091",23.2,2,2,4,2,0,0,6,0,0.09,0.09,0.17,0.09,0.17,71,tn TUN,MF,23,2001,23.2,2,19,6,31.6,0.82,0.26,0.11,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
72,Anis Ben Slimane,tn TUN,MF,Sheffield United,23,2001,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,72,tn TUN,MF,23,2001,0.5,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
464,Anis Mehmeti,al ALB,"MF,FW",Bristol City,23,2001,42,29,"2,558",28.4,12,1,13,10,2,2,3,0,0.42,0.04,0.46,0.35,0.39,464,al ALB,"MF,FW",23,2001,28.4,12,86,32,37.2,3.03,1.13,0.12,0.31,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
172,Ante Crnac,hr CRO,"FW,MF",Norwich City,20,2003,38,29,"2,495",27.7,7,4,11,7,0,0,2,0,0.25,0.14,0.4,0.25,0.4,172,hr CRO,"FW,MF",20,2003,27.7,7,33,16,48.5,1.19,0.58,0.21,0.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
495,Anthony Musaba,nl NED,"MF,FW",Sheffield Weds,23,2000,29,12,"1,328",14.8,3,6,9,3,0,0,0,0,0.2,0.41,0.61,0.2,0.61,495,nl NED,"MF,FW",23,2000,14.8,3,32,10,31.3,2.17,0.68,0.09,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
551,Anthony Patterson,eng ENG,GK,Sunderland,24,2000,42,42,"3,780",42,0,0,0,0,0,0,3,0,0,0,0,0,0,551,eng ENG,GK,24,2000,42,0,1,1,100,0.02,0.02,0,0,0,0,,,,,,,,,37,eng ENG,GK,24,2000,42,42,"3,780",42,42,1,126,89,69.8,20,10,12,14,33.3,5,4,1,0,20,ENG-Championship
274,Anwar El Ghazi,nl NED,"MF,FW",Cardiff City,29,1995,25,14,"1,175",13.1,3,1,4,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,274,nl NED,"MF,FW",29,1995,13.1,3,38,14,36.8,2.91,1.07,0.08,0.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
678,Ao Tanaka,jp JPN,MF,Leeds United,25,1998,43,37,"3,314",36.8,5,2,7,5,0,0,8,0,0.14,0.05,0.19,0.14,0.19,678,jp JPN,MF,25,1998,36.8,5,43,11,25.6,1.17,0.3,0.12,0.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
647,Arnór Sigurðsson,is ISL,"FW,MF",Blackburn Rovers,25,1999,5,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0,1.45,1.45,1.45,647,is ISL,"FW,MF",25,1999,0.7,1,2,1,50,2.9,1.45,0.5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
57,Ashley Barnes,eng ENG,FW,Burnley,34,1989,13,1,134,1.5,1,1,2,1,0,0,1,0,0.67,0.67,1.34,0.67,1.34,57,eng ENG,FW,34,1989,1.5,1,3,1,33.3,2.01,0.67,0.33,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
56,Ashley Barnes,eng ENG,FW,Norwich City,34,1989,8,1,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,56,eng ENG,FW,34,1989,1.9,0,4,1,25,2.08,0.52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
557,Ashley Phillips,wls WAL,DF,Stoke City,19,2005,35,35,"3,077",34.2,0,0,0,0,0,0,6,0,0,0,0,0,0,557,wls WAL,DF,19,2005,34.2,0,12,5,41.7,0.35,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
380,Augustus Kargbo,sl SLE,MF,Blackburn Rovers,24,1999,8,2,186,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,380,sl SLE,MF,24,1999,2.1,0,4,0,0,1.94,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
704,Auston Trusty,us USA,DF,Sheffield United,25,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,704,us USA,DF,25,1998,1,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG-Championship
552,Aynsley Pears,eng ENG,GK,Blackburn Rovers,26,1998,40,40,"3,600",40,0,0,0,0,0,0,3,0,0,0,0,0,0,552,eng ENG,GK,26,1998,40,0,0,0,,0,0,,,0,0,,,,,,,,,38,eng ENG,GK,26,1998,40,40,"3,600",40,43,1.07,148,109,73,15,8,17,13,32.5,4,3,1,0,25,ENG-Championship
