"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
432;"Timon Weiner";"Holstein Kiel";24;2160;0;0;0;0;0;0;2.12;2.12;0;0;0;0;0;0.09;0.09
433;"Marco Komenda";"Holstein Kiel";18;1310;0;0;0;0.05;0.05;0.55;5.78;5.2;0;0;0.04;0.04;0.04;0.4;0.36
434;"Marko Ivezic";"Holstein Kiel";22;1575;0;0;0;0.44;0.44;0.26;4.68;4.59;0.03;0.03;0.01;0.04;0.04;0.27;0.26
435;"Nicolai Remberg";"Holstein Kiel";31;2307;0;0;1;1.53;1.53;0.53;6.25;5.39;0.06;0.06;0.02;0.08;0.08;0.24;0.21
436;"Thomas Dähne";"Holstein Kiel";9;810;0;0;0;0;0;0;2.49;2.49;0;0;0;0;0;0.28;0.28
437;"Maarten Vandevoordt";"RasenBallsport Leipzig";6;425;0;0;0;0;0;0;0.68;0.68;0;0;0;0;0;0.14;0.14
438;"Viggo Gebel";"RasenBallsport Leipzig";1;10;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;0.54;0.54
439;"Mats Pannewig";"Bochum";14;243;0;0;0;0.38;0.38;0.07;0.87;0.51;0.14;0.14;0.03;0.16;0.16;0.32;0.19
440;"Aurèle Amenda";"Eintracht Frankfurt";8;72;0;0;0;0.05;0.05;0.48;0.98;0.98;0.07;0.07;0.6;0.67;0.67;1.23;1.23
441;"Kamil Grabara";"Wolfsburg";29;2589;0;0;0;0;0;0.07;2.04;1.98;0;0;0;0;0;0.07;0.07
442;"Nikola Vasilj";"St. Pauli";33;2970;0;0;0;0;0;0.02;2.09;2.08;0;0;0;0;0;0.06;0.06
443;"Karol Mets";"St. Pauli";10;900;0;0;0;0.12;0.12;0.06;1.38;1.35;0.01;0.01;0.01;0.02;0.02;0.14;0.13
444;"Philipp Treu";"St. Pauli";33;2894;0;0;2;1.1;1.1;2.8;10.97;8.87;0.03;0.03;0.09;0.12;0.12;0.34;0.28
445;"Jackson Irvine";"St. Pauli";29;2610;0;0;6;3.68;3.68;4.8;9.91;4.88;0.13;0.13;0.17;0.29;0.29;0.34;0.17
446;"Connor Metcalfe";"St. Pauli";10;340;0;0;0;0.86;0.86;0.21;0.97;0.05;0.23;0.23;0.05;0.28;0.28;0.26;0.01
447;"Adam Dzwigala";"St. Pauli";16;350;0;0;0;0.57;0.57;0;1.38;0.98;0.15;0.15;0;0.15;0.15;0.35;0.25
448;"Ben Voll";"St. Pauli";2;91;0;0;0;0;0;0.22;0.26;0.04;0;0;0.21;0.21;0.21;0.25;0.04
449;"Robin Hranác";"Hoffenheim";4;225;0;0;0;0;0;0;1.21;1.21;0;0;0;0;0;0.48;0.48
