Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
707,Benn Ward,,DF,Accrington Stanley,,,21,21,"1,862",20.7,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,707,,DF,,,20.7,1,4,1,25,0.19,0.05,0.25,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
677,Besart Topalloj,eng ENG,MF,Bromley,23,2001,3,2,207,2.3,0,0,0,0,0,0,2,1,0,0,0,0,0,677,eng ENG,MF,23,2001,2.3,0,3,1,33.3,1.3,0.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
382,Billy Kirkman,eng ENG,"MF,DF",Swindon Town,20,2004,14,11,934,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,382,eng ENG,"MF,DF",20,2004,10.4,0,5,0,0,0.48,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
603,Billy Sharp,eng ENG,FW,Doncaster Rovers,38,1986,43,19,"1,828",20.3,9,1,10,9,0,0,4,1,0.44,0.05,0.49,0.44,0.49,603,eng ENG,FW,38,1986,20.3,9,46,16,34.8,2.26,0.79,0.2,0.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
720,Billy Whaite,,FW,Morecambe,,,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,720,,FW,,,0.1,0,1,0,0,11.25,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
362,Bobby Kamwa,cm CMR,"FW,MF",Newport County,24,2000,43,41,"3,474",38.6,8,6,14,8,0,0,4,0,0.21,0.16,0.36,0.21,0.36,362,cm CMR,"FW,MF",24,2000,38.6,8,75,25,33.3,1.94,0.65,0.11,0.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
555,Bobby Pointon,eng ENG,MF,Bradford City,20,2004,40,27,"2,447",27.2,6,5,11,6,0,0,5,0,0.22,0.18,0.4,0.22,0.4,555,eng ENG,MF,20,2004,27.2,6,48,19,39.6,1.77,0.7,0.13,0.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
22,Botan Ameen,iq IRQ,MF,Swindon Town,17,2007,14,3,485,5.4,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,22,iq IRQ,MF,17,2007,5.4,1,8,6,75,1.48,1.11,0.13,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
280,Brad Halliday,eng ENG,"MF,DF",Bradford City,29,1995,43,39,"3,469",38.5,2,3,5,2,0,0,9,0,0.05,0.08,0.13,0.05,0.13,280,eng ENG,"MF,DF",29,1995,38.5,2,21,7,33.3,0.54,0.18,0.1,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
700,Brad Walker,eng ENG,DF,Tranmere Rovers,28,1996,8,6,543,6,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,700,eng ENG,DF,28,1996,6,0,1,0,0,0.17,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
157,Bradley Dack,eng ENG,"MF,FW",Gillingham,30,1993,19,5,672,7.5,1,1,2,1,0,0,3,0,0.13,0.13,0.27,0.13,0.27,157,eng ENG,"MF,FW",30,1993,7.5,1,14,2,14.3,1.87,0.27,0.07,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
331,Bradley Ihionvien,eng ENG,MF,Colchester United,20,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,331,eng ENG,MF,20,2003,0.9,0,1,0,0,1.15,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
316,Branden Horton,eng ENG,DF,Chesterfield,23,2000,7,2,227,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,316,eng ENG,DF,23,2000,2.5,0,2,0,0,0.79,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
129,Brandon Comley,ms MSR,MF,Walsall,28,1995,18,5,602,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,129,ms MSR,MF,28,1995,6.7,0,3,0,0,0.45,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
144,Brandon Cover,jm JAM,MF,Fleetwood Town,20,2003,8,4,318,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,144,jm JAM,MF,20,2003,3.5,0,2,0,0,0.57,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,ENG-League Two
