Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
141,Dennis Cirkin,eng ENG,DF,Sunderland,22,2002,30.4,6,0,0,45,51,1,53,42,49,,,0,Matches
142,Ibrahim Cissoko,nl NED,MF,Plymouth Argyle,21,2003,7.3,2,1,0,8,23,1,22,4,4,,,0,Matches
143,Ibrahim Cissoko,nl NED,MF,Sheffield Weds,21,2003,0.6,1,0,0,1,1,1,2,1,0,,,0,Matches
144,Jordan Clark,eng ENG,MF,Luton Town,30,1993,35.9,10,0,0,42,39,2,156,26,34,,,0,Matches
145,Harry Clarke,eng ENG,DF,Sheffield United,23,2001,5.2,3,0,0,9,1,0,8,6,8,,,0,Matches
146,Jack Clarke,eng ENG,MF,Sunderland,23,2000,2,0,0,0,2,7,2,7,0,1,,,0,Matches
147,Matthew Clarke,eng ENG,DF,Derby County,27,1996,15.2,2,0,0,17,8,2,2,22,18,,,0,Matches
148,Matthew Clarke,eng ENG,DF,Middlesbrough,27,1996,12.4,0,0,0,6,8,0,4,18,18,,,0,Matches
149,Jake Clarke-Salter,eng ENG,DF,Queens Park Rangers,26,1997,8.4,3,0,0,7,4,0,2,8,7,,,0,Matches
150,Josh Coburn,eng ENG,FW,Middlesbrough,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Josh Coburn,eng ENG,FW,Millwall,21,2002,13.5,0,0,0,30,18,11,8,2,7,,,0,Matches
152,Jack Colback,eng ENG,MF,Queens Park Rangers,34,1989,16.1,8,1,1,24,22,0,7,13,14,,,0,Matches
153,Devante Cole,eng ENG,FW,West Bromwich Albion,29,1995,1.8,0,0,0,0,4,3,1,1,1,,,0,Matches
154,Bradley Collins,eng ENG,GK,Coventry City,27,1997,14.6,2,0,0,0,2,0,0,0,0,,,0,Matches
155,James Collins,ie IRL,FW,Derby County,33,1990,2.5,1,0,0,12,3,1,1,1,1,,,0,Matches
156,Jamilu Collins,ng NGA,DF,Cardiff City,29,1994,1.8,1,0,0,2,2,1,4,4,3,,,0,Matches
157,Rubin Colwill,wls WAL,"MF,FW",Cardiff City,22,2002,28,3,0,0,36,25,7,77,11,37,,,0,Matches
158,Aaron Connolly,ie IRL,"MF,FW",Sunderland,24,2000,2.7,0,0,0,2,11,1,0,0,1,,,0,Matches
159,Aaron Connolly,ie IRL,"MF,FW",Millwall,24,2000,7.3,3,0,0,7,28,0,6,1,3,,,0,Matches
160,Tommy Conway,sct SCO,"FW,MF",Middlesbrough,21,2002,26.2,1,0,0,16,27,22,14,2,9,,,0,Matches
161,Steve Cook,eng ENG,DF,Queens Park Rangers,33,1991,29.1,4,0,0,12,18,0,18,21,16,,,0,Matches
162,Jake Cooper,eng ENG,DF,Millwall,29,1995,35.5,4,0,0,37,17,7,3,23,24,,,2,Matches
163,Michael Cooper,eng ENG,GK,Sheffield United,24,1999,43,3,0,0,1,5,0,0,0,0,,,0,Matches
164,Oliver Cooper,wls WAL,MF,Swansea City,24,1999,11.6,0,0,0,19,41,2,17,6,11,,,0,Matches
165,José Cordoba,pa PAN,DF,Norwich City,23,2001,23.4,4,1,1,26,13,0,3,18,14,,,0,Matches
166,David Cornell,wls WAL,GK,Preston North End,33,1991,9,0,0,0,0,1,0,0,0,0,,,0,Matches
167,Harry Cornick,eng ENG,"FW,MF",Bristol City,29,1995,0.4,0,0,0,1,0,0,0,0,0,,,0,Matches
168,Lewie Coyle,eng ENG,DF,Hull City,28,1995,41.3,6,0,0,40,73,2,165,26,64,,,0,Matches
169,Amario Cozier-Duberry,eng ENG,MF,Blackburn Rovers,19,2005,8,0,0,0,9,10,0,18,1,10,,,0,Matches
170,Tristan Crama,fr FRA,DF,Millwall,22,2001,18.2,1,0,0,22,10,2,51,29,21,,,0,Matches
171,Charlie Crew,wls WAL,MF,Leeds United,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
172,Ante Crnac,hr CRO,"FW,MF",Norwich City,20,2003,27.7,2,0,0,31,12,9,9,6,33,,,1,Matches
173,Matt Crooks,eng ENG,"MF,FW",Hull City,30,1994,8.8,4,1,1,25,4,5,1,3,12,,,0,Matches
174,Josh Cullen,ie IRL,MF,Burnley,28,1996,42.2,11,0,0,58,76,0,38,35,33,,,0,Matches
175,Liam Cullen,wls WAL,"MF,FW",Swansea City,25,1999,33.3,8,0,0,40,28,4,16,8,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
