Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
257,Ander Herrera,es ESP,MF,Athletic Club,34,1989,8,2,273,3,0,0,0,0,0,1,2,0,0,0,0,0,0,257,es ESP,MF,34,1989,3,0,8,4,50,2.64,1.32,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
233,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,20,17,"1,485",16.5,0,2,2,0,0,0,5,0,0,0.12,0.12,0,0.12,233,es ESP,DF,27,1996,16.5,0,2,1,50,0.12,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
132,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,5,2,254,2.8,0,0,0,0,0,0,3,0,0,0,0,0,0,132,dk DEN,DF,28,1996,2.8,0,1,0,0,0.35,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
467,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,26,1998,35,34,"3,065",34.1,2,3,5,2,0,0,5,0,0.06,0.09,0.15,0.06,0.15,467,ro ROU,"DF,MF",26,1998,34.1,2,31,8,25.8,0.91,0.23,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
329,Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,7,7,630,7,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,329,ua UKR,GK,25,1999,7,0,0,0,,0,0,,,0,0,24,ua UKR,GK,25,1999,7,7,630,7,7,1,20,13,65,6,0,1,4,57.1,0,0,0,0,,La Liga
196,André Ferreira,pt POR,GK,Valladolid,28,1996,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,196,pt POR,GK,28,1996,6,0,0,0,,0,0,,,0,0,12,pt POR,GK,28,1996,6,6,540,6,20,3.33,37,20,54.1,0,0,6,0,0,3,3,0,0,0,La Liga
442,Andy Pelmard,mg MAD,DF,Las Palmas,24,2000,4,2,205,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,442,mg MAD,DF,24,2000,2.3,0,1,0,0,0.44,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
188,Ansu Fati,es ESP,MF,Barcelona,21,2002,6,3,233,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,188,es ESP,MF,21,2002,2.6,0,12,5,41.7,4.64,1.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
98,Ante Budimir,hr CRO,FW,Osasuna,33,1991,38,34,"2,952",32.8,21,4,25,13,8,8,4,0,0.64,0.12,0.76,0.4,0.52,98,hr CRO,FW,33,1991,32.8,21,99,37,37.4,3.02,1.13,0.13,0.35,8,8,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
236,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,38,29,"2,469",27.4,8,7,15,7,1,2,2,0,0.29,0.26,0.55,0.26,0.51,236,fr FRA,"FW,MF",33,1991,27.4,8,50,18,36,1.82,0.66,0.14,0.39,1,2,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
