Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
136,Callum Cooke,eng ENG,MF,Morecambe,27,1997,10.5,1,0,0,9,6,0,29,4,8,,,0,Matches
137,Ryan Cooney,eng ENG,"MF,DF",Crewe Alexandra,24,2000,30.1,11,1,1,30,29,2,79,37,38,,,0,Matches
138,Dean Cornelius,sct SCO,MF,Harrogate Town FC,23,2001,28.6,3,0,0,21,14,1,21,26,14,,,0,Matches
139,Dominic Corness,eng ENG,MF,Gillingham,21,2003,3.2,1,0,0,4,6,0,9,1,3,,,0,Matches
140,Dara Costelloe,ie IRL,"FW,MF",Accrington Stanley,21,2002,13.5,3,0,0,26,15,6,9,4,7,,,0,Matches
141,Joel Cotterill,wls WAL,MF,Swindon Town,19,2004,29.2,4,0,0,11,14,0,43,22,27,,,0,Matches
142,Ronan Coughlan,ie IRL,FW,Fleetwood Town,28,1995,17.8,2,0,0,21,24,20,7,2,12,,,0,Matches
143,Brandon Cover,jm JAM,"MF,DF",Port Vale,20,2003,15.9,3,0,0,31,16,1,25,16,44,,,0,Matches
144,Brandon Cover,jm JAM,MF,Fleetwood Town,20,2003,3.5,2,0,0,5,0,0,9,4,12,,,0,Matches
145,George Cox,eng ENG,"MF,DF",Swindon Town,26,1998,18.3,5,0,0,23,18,1,149,27,31,,,0,Matches
146,Liam Coyle,eng ENG,MF,Accrington Stanley,24,1999,26.3,10,0,0,48,31,0,6,35,39,,,0,Matches
147,William Crellin,eng ENG,GK,Accrington Stanley,24,2000,34,1,0,0,0,6,0,0,0,2,,,0,Matches
148,Charlie Crew,wls WAL,MF,Doncaster Rovers,18,2006,9,2,0,0,12,9,0,13,3,18,,,0,Matches
149,Romoney Crichlow-Noble,eng ENG,DF,Bradford City,25,1999,6.8,1,0,0,7,5,0,4,2,6,,,0,Matches
150,Ryan Croasdale,eng ENG,MF,Port Vale,29,1994,39.3,9,0,0,39,34,2,36,28,64,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Daniel Crowley,eng ENG,MF,Notts County,26,1997,17,2,0,0,16,32,1,47,5,20,,,0,Matches
152,Daniel Crowley,eng ENG,MF,Milton Keynes Dons,26,1997,17.5,2,0,0,12,32,0,72,4,16,,,0,Matches
153,Robbie Cundy,eng ENG,"MF,DF",Notts County,27,1997,1.7,1,0,0,1,4,0,0,2,2,,,0,Matches
154,Jai Curran Nicholls,eng ENG,DF,Salford City FC,20,2004,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
155,Tom Cursons,eng ENG,FW,Harrogate Town FC,22,2001,7.1,2,0,0,8,6,8,5,3,0,,,0,Matches
156,Ronan Curtis,ie IRL,"FW,MF",Port Vale,28,1996,22.3,4,1,0,40,31,15,103,8,28,,,0,Matches
157,Bradley Dack,eng ENG,"MF,FW",Gillingham,30,1993,7.5,3,0,0,5,4,4,20,3,12,,,0,Matches
158,Marcus Dackers,wls WAL,FW,Salford City FC,21,2003,0.7,0,0,0,1,2,0,0,0,1,,,0,Matches
159,Marcus Dackers,wls WAL,FW,Morecambe,21,2003,24,3,0,0,53,37,5,18,7,15,,,0,Matches
160,Vontae Daley Campbell,eng ENG,DF,Chesterfield,23,2001,4.9,1,0,0,8,6,0,32,3,3,,,0,Matches
161,Andrew Dallas,sct SCO,"FW,MF",Morecambe,25,1999,11.3,2,0,0,14,19,3,19,2,5,,,0,Matches
162,Andrew Dallas,sct SCO,FW,Barrow,25,1999,6.9,4,0,0,10,8,7,12,1,2,,,0,Matches
163,James Daly,eng ENG,"MF,FW",Harrogate Town FC,24,2000,30.1,4,0,0,44,38,5,94,22,28,,,0,Matches
164,Matty Daly,eng ENG,"MF,FW",Harrogate Town FC,23,2001,13.5,3,0,0,13,11,0,11,5,12,,,0,Matches
165,Donervon Daniels,ms MSR,DF,Walsall,30,1993,4.1,1,0,0,3,3,1,1,4,2,,,0,Matches
166,Geza David Turi,fo FRO,MF,Grimsby Town,22,2001,1.8,2,0,0,3,3,0,0,5,6,,,0,Matches
167,Archie Davies,eng ENG,"DF,MF",Carlisle United,25,1998,19.2,7,0,0,15,26,1,67,12,26,,,0,Matches
168,Jordan Davies,wls WAL,MF,Grimsby Town,25,1998,8.1,2,0,0,17,15,1,11,7,15,,,0,Matches
169,Thomas Davies,wls WAL,DF,Newport County,20,2003,2,0,0,0,3,2,0,6,2,4,,,0,Matches
170,Tom Davies,eng ENG,DF,Tranmere Rovers,32,1992,31.3,10,1,1,30,34,2,9,43,19,,,0,Matches
171,Josh Davison,eng ENG,FW,Tranmere Rovers,24,1999,14,4,0,0,30,20,2,11,1,9,,,0,Matches
172,Joe Day,eng ENG,GK,Cheltenham Town,33,1990,35,3,0,0,0,7,0,0,0,1,,,0,Matches
173,Ja­son Daði Svanþórs­son,is ISL,MF,Grimsby Town,24,1999,32.9,7,0,0,24,33,10,21,32,44,,,0,Matches
174,Jesse Debrah,eng ENG,DF,Port Vale,24,2000,33,4,0,0,16,25,0,23,26,23,,,0,Matches
175,Ryan Delaney,ie IRL,DF,Swindon Town,27,1996,18.4,4,0,0,21,6,0,6,14,20,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Mickey Demetriou,eng ENG,DF,Crewe Alexandra,34,1990,35,7,0,0,25,38,1,31,52,27,,,0,Matches
177,Kristian Dennis,eng ENG,FW,Tranmere Rovers,34,1990,21,4,0,0,13,15,19,22,4,5,,,0,Matches
178,Louis Dennis,eng ENG,"FW,MF",Bromley,31,1992,7.4,0,0,0,17,5,3,19,1,5,,,0,Matches
179,Matthew Dennis,eng ENG,FW,Carlisle United,22,2002,10.7,5,1,1,14,8,7,2,0,6,,,0,Matches
180,Matthew Dennis,eng ENG,FW,Milton Keynes Dons,22,2002,0.4,0,0,0,3,0,1,0,0,0,,,0,Matches
181,Owen Devonport,eng ENG,FW,Fleetwood Town,19,2004,12.1,1,0,0,24,20,2,10,4,9,,,0,Matches
182,Cheick Diabate,eng ENG,DF,Bradford City,22,2002,9.9,4,0,0,10,2,0,11,6,12,,,1,Matches
183,Timothée Dieng,fr FRA,MF,Gillingham,32,1992,7.1,1,0,0,13,5,1,10,7,5,,,0,Matches
184,Timothée Dieng,fr FRA,MF,Cheltenham Town,32,1992,9.3,5,1,1,21,5,1,7,8,15,,,0,Matches
185,Marcus Dinanga,eng ENG,FW,Bromley,27,1997,3,0,0,0,7,3,4,0,0,1,,,0,Matches
186,Baylee Dipepa,eng ENG,FW,Port Vale,17,2007,0.7,0,0,0,2,1,0,0,0,0,,,0,Matches
187,Armando Dobra,al ALB,MF,Chesterfield,23,2001,34.5,8,0,0,56,103,5,30,11,47,,,0,Matches
188,Lennon Dobson,,MF,Morecambe,,,0,0,0,0,0,0,0,0,0,0,,,0,Matches
189,Janoi Donacien,lc LCA,DF,Chesterfield,30,1993,3.9,1,0,0,2,3,0,8,2,6,,,0,Matches
190,Aaron Donnelly,nir NIR,DF,Colchester United,21,2003,14.3,1,0,0,4,5,0,7,8,2,,,0,Matches
191,Stephen Dooley,nir NIR,MF,Harrogate Town FC,32,1991,18.8,0,0,0,16,11,0,5,16,16,,,0,Matches
192,Aaron Drinan,ie IRL,"FW,MF",Swindon Town,26,1998,18.9,0,0,0,6,13,1,39,5,15,,,0,Matches
193,Anthony Driscoll-Glennon,eng ENG,"DF,MF",Newport County,24,1999,35,8,0,0,35,29,2,202,21,34,,,0,Matches
194,Kane Drummond,eng ENG,FW,Chesterfield,23,2000,5.4,2,0,0,11,1,6,0,1,4,,,0,Matches
195,Declan Drysdale,eng ENG,DF,Tranmere Rovers,24,1999,6.7,5,2,2,12,7,0,6,4,5,,,0,Matches
196,Anton Dudik,ua UKR,FW,Carlisle United,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
197,Dylan Duffy,ie IRL,"MF,FW",Chesterfield,21,2002,8.1,1,0,0,10,3,5,64,4,11,,,0,Matches
198,Stephen Duke-McKenna,gy GUY,MF,Harrogate Town FC,23,2000,12.5,1,0,0,9,44,3,85,8,10,,,0,Matches
199,Liam Dulson,,"MF,FW",Cheltenham Town,,,9.8,1,0,0,10,9,3,14,0,3,,,0,Matches
200,Paul Dummett,wls WAL,DF,Carlisle United,32,1991,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Chey Dunkley,eng ENG,DF,Chesterfield,32,1992,9,2,1,1,13,3,0,0,14,6,,,0,Matches
202,Leonard Duru,eng ENG,"MF,DF",Barrow,19,2005,5.9,2,0,0,3,4,0,11,9,10,,,0,Matches
203,Jack Earing,eng ENG,MF,Walsall,25,1999,7.6,0,0,0,8,7,1,13,8,8,,,0,Matches
