Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
471,Andrea Pinamonti,it ITA,FW,Genoa,25,1999,36,33,"2,850",31.7,10,1,11,10,0,1,4,0,0.32,0.03,0.35,0.32,0.35,471,it ITA,FW,25,1999,31.7,10,79,30,38,2.49,0.95,0.13,0.33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
455,Andy Pelmard,mg MAD,DF,Lecce,24,2000,3,1,129,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,455,mg MAD,DF,24,2000,1.4,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
74,Ange-Yoan Bonny,fr FRA,FW,Parma,20,2003,37,30,"2,529",28.1,6,4,10,4,2,2,2,0,0.21,0.14,0.36,0.14,0.28,74,fr FRA,FW,20,2003,28.1,6,64,22,34.4,2.28,0.78,0.06,0.18,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
21,Angeliño,es ESP,"MF,DF",Roma,27,1997,38,36,"3,177",35.3,2,1,3,2,0,0,1,0,0.06,0.03,0.08,0.06,0.08,21,es ESP,"MF,DF",27,1997,35.3,2,24,6,25,0.68,0.17,0.08,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
493,Ante Rebić,hr CRO,"FW,MF",Lecce,30,1993,27,7,788,8.8,1,0,1,1,0,0,3,2,0.11,0,0.11,0.11,0.11,493,hr CRO,"FW,MF",30,1993,8.8,1,13,5,38.5,1.48,0.57,0.08,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,14,7,594,6.6,1,0,1,1,0,0,2,0,0.15,0,0.15,0.15,0.15,60,fr FRA,MF,25,1999,6.6,1,4,2,50,0.61,0.3,0.25,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
252,Antoine Hainaut,fr FRA,"DF,MF",Parma,22,2002,25,10,"1,206",13.4,2,0,2,2,0,0,4,0,0.15,0,0.15,0.15,0.15,252,fr FRA,"DF,MF",22,2002,13.4,2,6,3,50,0.45,0.22,0.33,0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
344,Antoine Makoumbou,cg CGO,MF,Cagliari,26,1998,33,27,"2,150",23.9,0,3,3,0,0,0,4,1,0,0.13,0.13,0,0.13,344,cg CGO,MF,26,1998,23.9,0,7,1,14.3,0.29,0.04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
225,Antonino Gallo,it ITA,DF,Lecce,24,2000,31,31,"2,609",29,0,2,2,0,0,0,3,1,0,0.07,0.07,0,0.07,225,it ITA,DF,24,2000,29,0,9,3,33.3,0.31,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
101,Antonio Candela,it ITA,"MF,DF",Venezia,24,2000,14,12,"1,008",11.2,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,101,it ITA,"MF,DF",24,2000,11.2,0,5,0,0,0.45,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
